諧聲序,形序,聲-明細,聲形-聲,聲形-形,字類,聲-明細',聲序,聲旁,反切-小韻首字,反切-原貌,反切-周祖謨校,反切-余迺永校,反切-覈校說明,字頭-原貌,字頭-周祖謨校,字頭-余迺永校,字頭-覈校說明,字頭-補,廣韻反切原貌(覈校前),廣韻反切(覈校後),上字,下字,廣韻字頭原貌(覈校前),廣韻字頭(覈校後),廣韻釋義,釋義補充,廣韻字序,切韻擬音(poem版),切韻拼音(poem版),聲紐,呼,等,韻部(調整後),聲調,組,攝,韻部調整說明,廣韻韻部順序,廣韻韻部原貌(調整前),韻部原貌-平上去入相配爲平(調整前),韻部原貌-相配爲平並標A/B類(調整前),小韻-擬音相同(poem版擬音),開合分析(果攝/寒桓/嚴凡/咍灰/遇攝/通攝/臻攝),開合分析(幫組-歌戈/寒桓/唐/泰/咍灰/魂/模/冬/東一),開合分析(幫組-陽/嚴凡/元/廢/鍾/東三/尤/虞/文/微）,A/B類分析(與各組聲紐撘配),中古拼音(polyhedron 版),現代廣州音理論音,粵聲,粵韻,粵調,現代北京音理論音,京聲,京韻,京調,廣韻頁序,頁內字序,小韻序,小韻內字序,全王本切韻-補字,全王本切韻-字數,全王本切韻-反切,裴本切韻-反切,裴本切韻-字序,裴本切韻-字數,裴本切韻-補字,玉篇-原本玉篇殘卷/篆隸萬象名義,玉篇-是否見於原本玉篇殘卷,玉篇-宋本玉篇,經典釋文-拼音(poem版),經典釋文-反切,合併-廣韻,合併-廣韻反切,合併-切韻擬音(poem版),合併-切韻拼音(poem版),合併-中古拼音(polyhedron 版),上字',上字-切韻拼音(poem版),上字-聲紐,上字-呼,上字-等,上字-韻部,上字-聲調,上字-組,上字-攝,下字',下字-切韻拼音(poem版),下字-聲紐,下字-呼,下字-等,下字-韻部,下字-聲調,下字-組,下字-攝,對比-聲紐(上字/被切字),對比-呼(下字/被切字)(不涉及幫組),對比-呼(幫組下字/其他組被切字),對比-等(下字/被切字),對比-韻部(下字/被切字),對比-韻部A/B類(來紐下字/幫見影三組被切字),對比-韻部A/B類(知組下字/幫見影三組被切字),對比韻部A/B類(其他組下字/幫見影三組被切字),上字-切韻擬音(poem版),上字-中古拼音(polyhedron 版),下字-切韻擬音(poem版),下字-中古拼音(polyhedron 版),建議替換爲,是否聲旁,是否次級聲旁,聲形析微,先秦韻部（引自余迺永的《上古音系研究》）,資料引用-其他版本的字頭
16710,450,東,,東,整體,東,833,東,德紅,,,,,,,,,,德紅,德紅,德,紅,東,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,,1,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,dung1,d,ung,1,dong1,d,ong,1,上平07左,1,1,1,,2,德紅,德紅,1,2加2,,都公,,德紅,,,德紅：春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,聲旁,次級聲旁,暫擬爲東重聲旁一類而童聲旁在另一類（雖然童爲⿳辛東土，但可能聲旁東是先秦中後期讀音有所演變後新加的）；熏的上方似基於東而內加四點，存疑,東,東
16846,329,同,,凡口,會意,同,837,同,徒紅,,,,,,,,,,徒紅,徒紅,徒,紅,同,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,,18,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong2,t,ong,2,上平08右,14,2,1,,18,徒紅,徒紅,1,16加6,,徒東,,徒東,,,徒紅：齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,聲旁,次級聲旁,,東,同
19509,,中,,中,整體,中,1002,中,陟弓,,,,,,,,,,陟弓,陟弓,陟,弓,中,中,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,,63,ʈjowŋ,trjong,知,開,三,東,平,知,通,,上平01,東,東,東,,東三>開,,,,triung,zung1,z,ung,1,zhong1,zh,ong,1,上平08左,22,3,1,,4,陟隆,陟隆,1,3加1,,致隆,,致隆/丁仲/致隆/丁仲/致隆/丁仲,drjongh/trjong/trjongh/0,仲19/如字43/丁仲168/竹仲1/知眾1/貞仲1/張仲8/□仲1/丁□1,陟弓：平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四/陟仲：當也陟仲切又陟沖切二,陟弓/陟仲,ʈjowŋ/ʈjowŋh,trjong/trjongh,triung/triungh,陟,trik,知,開,三,蒸,入,知,曾,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,ʈɨk,trik,kjowŋ,kiung,,聲旁,次級聲旁,,中,中
19427,189,蟲,,虫虫虫,會意,蟲,999,蟲,直弓,,,,,,,,,,直弓,直弓,直,弓,蟲,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七,,67,ɖjowŋ,drjong,澄,開,三,東,平,知,通,,上平01,東,東,東,,東三>開,,,,driung,cung4,c,ung,4,chong2,ch,ong,2,上平08左,26,4,1,,5,直隆,直隆,1,3加4,a2𪔖a3𢝈,除忠,,除中,drjong/dwong/koq,直弓3/直中1/直忠7/直隆1/除中1/徒冬1/古2,直弓：爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七/直眾：蟲食物又音沖或作蚛,直弓/直眾,ɖjowŋ/ɖjowŋh,drjong/drjongh,driung/driungh,直,drik,澄,開,三,蒸,入,知,曾,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,ɖɨk,drik,kjowŋ,kiung,,聲旁,次級聲旁,未知虫是否也有讀蟲之音，暫將此聲旁繫列裏字形衹有一虫者視爲蟲省聲,中,蟲
19468,330,冬,冬,糸,,終,1000,夂,職戎,,,,,,,,,,職戎,職戎,職,戎,終,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,,74,tɕjowŋ,tcjong,章,開,三,東,平,章,通,,上平01,東,東,東,,東三>開,,,,cjung,zung1,z,ung,1,zhong1,zh,ong,1,上平08左,33,5,1,,11,職隆,職隆,1,10加2,a1𧆼a3𤽬,之戎,是,之戎,,,職戎：極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,職戎,tɕjowŋ,tcjong,cjung,職,tcjik,章,開,三,蒸,入,章,曾,戎,njong,日,開,三,東,平,日,通,,,,,,,,,tɕjɨk,cjik,ȵjowŋ,njung,,,次級聲旁,,,終
19520,37,中,中,心,,忡,1002,中,敕中,,,,,,,,,,敕中,敕中,敕,中,忡,忡,憂也敕中切三,,89,ʈhjowŋ,thrjong,徹,開,三,東,平,知,通,,上平01,東,東,東,,東三>開,,,,thriung,cung1,c,ung,1,chong1,ch,ong,1,上平09右,15,6,1,,2,勑中,勑中,1,1加1,,直忠,,丑中,thrjong,勑中1/勑忠2/恥忠1/敕中1,敕中：憂也敕中切三,敕中,ʈhjowŋ,thrjong,thriung,敕,thrik,徹,開,三,蒸,入,知,曾,中,trjong,知,開,三,東,平,知,通,,,,,,,,,ʈhɨk,thrik,ʈjowŋ,triung,,,次級聲旁,與忠不同,,忡
19559,297,宗,宗,山,,崇,1007,宗,鋤弓,,,,,,,,,,鋤弓,鋤弓,鋤,弓,崇,崇,高也敬也就也聚也又姓鋤弓切四,,92,dʐjowŋ,dzrjong,崇,開,三,東,平,莊,通,,上平01,東,東,東,,東三>開,,,,zriung,sung4,s,ung,4,chong2,ch,ong,2,上平09右,18,7,1,,2,鋤隆,鋤隆,1,4,,仕隆,是,士隆/士隆,,,鋤弓：高也敬也就也聚也又姓鋤弓切四,鋤弓,dʐjowŋ,dzrjong,zriung,鋤,dzrjoo,崇,開,三,魚,平,莊,遇,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,dʐjɔ,zrio,kjowŋ,kiung,,,次級聲旁,,中,崇
16335,297,嵩,,山高,會意,嵩,820,嵩,息弓,,,,,,,,,,息弓,息弓,息,弓,嵩,嵩,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,,96,sjowŋ,sjong,心,開,三,東,平,精,通,,上平01,東,東,東,,東三>開,,,,siung,sung1,s,ung,1,song1,s,ong,1,上平09右,22,8,1,,3,息隆,息隆,1,4,,,是,思融,sjong,夙忠1/息忠1/宿忠1,息弓：山高也又山名又姓史記有嵩極玄子或作崧息弓切九,息弓,sjowŋ,sjong,siung,息,sjik,心,開,三,蒸,入,精,曾,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,sjɨk,sik,kjowŋ,kiung,,聲旁,次級聲旁,,東,嵩
19347,,戎,,毌戈,會意,戎,995,戎,如融,,,,,,,,,,如融,如融,如,融,戎,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,,105,ȵjowŋ,njong,日,開,三,東,平,日,通,,上平01,東,東,東,,東三>開,,,,njung,yung4,y,ung,4,rong2,r,ong,2,上平09右,31,9,1,,4,如隆,如隆,1,4,,如終,,如終/如終,njong/njoong/njoongq/0,如字2/而融1/而容1/如勇1/如□1,如融：戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,如融,ȵjowŋ,njong,njung,如,njoo,日,開,三,魚,平,日,遇,融,yjong,以,開,三,東,平,以,通,,,,,,,,,ȵjɔ,njo,jowŋ,jung,,聲旁,次級聲旁,,中,戎
15848,418,弓,,弓,整體,弓,796,弓,居戎,,,,,,,,,,居戎,居戎,居,戎,弓,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六,,114,kjowŋ,kjong,見,開,三,東,平,見,通,,上平01,東,東,東,,東三>開,,,,kiung,gung1,g,ung,1,gong1,g,ong,1,上平09右,40,10,1,,4,居隆,居隆,1,4,,居雄,,居雄,,,居戎：弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六,居戎,kjowŋ,kjong,kiung,居,kjoo,見,開,三,魚,平,見,遇,戎,njong,日,開,三,東,平,日,通,,,,,,,,,kjɔ,kio,ȵjowŋ,njung,,聲旁,次級聲旁,弘聲旁爲複聲（弓厷都爲聲旁，兩者音韻地位在一起）；躬窮聲旁爲替換躳竆的聲旁爲弓之後得到的字形，音韻地位應與躳竆同）；擬爲kw-類,蒸,弓
19440,371,蟲,蟲,鬲,,融,999,蟲,以戎,,,,,,,,,後應補「融（左下爲𢆉）：上同」,以戎,以戎,以,戎,融,融,和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四,,120,jowŋ,yjong,以,開,三,東,平,以,通,,上平01,東,東,東,,東三>開,,,,jung,yung4,y,ung,4,rong2,r,ong,2,上平09左,2,11,1,,2,餘隆,餘隆,1,2,,余終,,余終/余終,yjong,羊弓1/余忠1/餘戎1,以戎：和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四,以戎,jowŋ,yjong,jung,以,yjeq,以,開,三,之,上,以,止,戎,njong,日,開,三,東,平,日,通,,,,,,,,,jɨʔ,jix,ȵjowŋ,njung,,,次級聲旁,蟲省聲,,融
15860,157,厷,厷,隹,,厷,797,厷,羽弓,,,,,,,,,,羽弓,羽弓,羽,弓,雄,雄,雄雌也亦姓舜友有雄陶羽弓切二,,123,ɦjowŋ,ghjong,云,開,三,東,平,影,通,,上平01,東,東,東,,東三>開,,,,iung,hung4,h,ung,4,xiong2,x,iong,2,上平09左,5,12,1,,2,羽隆,羽隆,1,2,,有宮,,有弓,,,羽弓：雄雌也亦姓舜友有雄陶羽弓切二,羽弓,ɦjowŋ,ghjong,iung,羽,ghwjoq,云,合,三,虞,上,影,遇,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,ɦwjoʔ,yox,kjowŋ,kiung,,,,,,雄
15982,1,𦰋,𦰋,目,,瞢,804,𦰋,莫中,,,,,,,,,,莫中,莫中,莫,中,瞢,瞢,目不明莫中切六,,125,mwjowŋ,mwjong,明,合,三,東,平,幫,通,,上平01,東,東,東,,東三>合,,幫組東三>合,,miung,mung4,m,ung,4,meng2,m,eng,2,上平09左,7,13,1,,3,莫中,莫中,1,3加2,4𥌱5㙹,亡登/亡登,,莫登/莫中,meong/meongh/mong/mongh,武登1/亡鄧1/莫贈1/亡雄1/武忠1/亡貢1/亡鳳1,莫中：目不明莫中切六/武登：目不明武登切四/莫鳳：雲瞢澤在南郡亦作夢,莫中/武登/莫鳳,mwjowŋ/mɤŋ/mwjowŋh,mwjong/meong/mwjongh,miung/mong/miungh,莫,moak,明,開,一,唐,入,幫,宕,中,trjong,知,開,三,東,平,知,通,,,,,,,,,mɒk,mak,ʈjowŋ,triung,,,次級聲旁,,蒸,瞢
15850,307,弓,弓,穴,,穹,796,弓,去宮,,,,,,,,,,去宮,去宮,去,宮,穹,穹,高也去宮切七,,131,khjowŋ,khjong,溪,開,三,東,平,見,通,,上平01,東,東,東,,東三>開,,,,khiung,kung4,k,ung,4,qiong2,q,iong,2,上平09左,13,14,1,,4,去隆,去隆,1,2加2,,丘弓,,丘弓,khjong,起弓4/起宮1,去宮：高也去宮切七,去宮,khjowŋ,khjong,khiung,去,khjooh,溪,開,三,魚,去,見,遇,宮,kjong,見,開,三,東,平,見,通,,,,,,,,,khjɔh,khioh,kjowŋ,kiung,,,次級聲旁,,,穹
19292,307,躬,躬,穴,,窮,993,宮,渠弓,,,,,,,,,,渠弓,渠弓,渠,弓,窮,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,,138,gjowŋ,gjong,群,開,三,東,平,見,通,,上平01,東,東,東,,東三>開,,,,giung,kung4,k,ung,4,qiong2,q,iong,2,上平09左,20,15,1,,,去隆,渠隆,1,3,,渠弓,,渠躬,kjong,弓1,渠弓：窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三,渠弓,gjowŋ,gjong,giung,渠,gjoo,群,開,三,魚,平,見,遇,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,gjɔ,gio,kjowŋ,kiung,,,次級聲旁,爲竆替換⿱囗囗爲弓之後的字形，應視爲與竆的音韻地位相同；窮（从穴躬聲）、䠻（从身穹聲）可相參照,,窮
20518,165,仌,仌,馬,,馮,1061,仌,房戎,,,,,,,,,,房戎,房戎,房,戎,馮,馮,馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七,,141,bwjowŋ,bwjong,並,合,三,東,平,幫,通,,上平01,東,東,東,,東三>合,,幫組東三>合,,biung,fung4,f,ung,4,feng2,f,eng,2,上平09左,23,16,1,,5,扶隆,扶隆,1,3加1,,白陵,,皮冰/扶風,beang/bing/bwjeonq/pheang/phing,步耕1/皮冰37/皮陵1/扶冰1/符冰2/憑9/憤1/普耕1/敷冰1,房戎：馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七/扶冰：周禮馮相氏鄭玄云馮乘也相視也世登高臺以視天文又防戎切,房戎/扶冰,bwjowŋ/bɨŋ,bwjong/bing,biung/bing,房,bwjoang,並,合,三,陽,平,幫,宕,戎,njong,日,開,三,東,平,日,通,,,,,,,,,bwjɒŋ,byang,ȵjowŋ,njung,,,次級聲旁,仌聲，非从冫,蒸,馮
21069,189,凡,凡,虫,,風,1088,凡,方戎,,,,,,,,,,方戎,方戎,方,戎,風,風,教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七,,148,pwjowŋ,pwjong,幫,合,三,東,平,幫,通,,上平01,東,東,東,,東三>合,,幫組東三>合,,piung,fung1,f,ung,1,feng1,f,eng,1,上平09左,30,17,1,,2,方隆,方隆,1,2加1,a1瘋,甫融,,甫融,pwjong/pwjongh,如字8/方鳳7/福鳳12/諷1,方戎：教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七/方鳳：上同見詩,方戎/方鳳,pwjowŋ/pwjowŋh,pwjong/pwjongh,piung/piungh,方,pwjoang,幫,合,三,陽,平,幫,宕,戎,njong,日,開,三,東,平,日,通,,,,,,,,,pwjɒŋ,pyang,ȵjowŋ,njung,,,次級聲旁,,侵,風
16635,455,丰丰,丰丰,壴,曡聲,豐,828,丰,敷空,,,,,,,,,,敷空,敷空,敷,空,豐,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八,,155,phwjowŋ,phwjong,滂,合,三,東,平,幫,通,,上平01,東,東,東,,東三>合,,幫組東三>合,,phiung,fung1,f,ung,1,feng1,f,eng,1,上平10右,4,18,1,,6,敷隆,敷隆,1,6,,孚宮,,芳馮/芳馮,phwjong,匹忠1/芳弓5/芳中1/芳忠1/敷馮1,敷空：大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八,敷空,phwjowŋ,phwjong,phiung,敷,phwjo,滂,合,三,虞,平,幫,遇,空,khong,溪,開,一,東,平,見,通,,,,東一/東三,東一/東三,,,,phwjo,phyo,khowŋ,khung,,,次級聲旁,丰爲聲旁；从壴非从豆；與豊（⿱⿰玉玉壴）不同，玉所从的是短橫,,豐
19417,,充,,𠫓人,會意,充,998,充,昌終,,,,,,,,,,昌終,昌終,昌,終,充,充,美也塞也行也滿也昌終切七,,163,tɕhjowŋ,tchjong,昌,開,三,東,平,章,通,,上平01,東,東,東,,東三>開,,,,chjung,cung1,c,ung,1,chong1,ch,ong,1,上平10右,12,19,1,,5,處隆,處隆,1,3加2,,齒戎,,齒戎,tchjong,如字1,昌終：美也塞也行也滿也昌終切七,昌終,tɕhjowŋ,tchjong,chjung,昌,tchjoang,昌,開,三,陽,平,章,宕,終,tcjong,章,開,三,東,平,章,通,,,,,,,,,tɕhjɒŋ,chjang,tɕjowŋ,cjung,,聲旁,次級聲旁,𠫓爲倒子（與𡿮爲倒㜽可相參照），𠫓是充㐬流棄弃𡿮育毓的部件,東,充
19319,213,降,降,生,,隆,994,夅,力中,,,,,,,,,,力中,力中,力,中,隆,隆,盛也豐也大也力中切六,,170,ljowŋ,ljong,來,開,三,東,平,來,通,,上平01,東,東,東,,東三>開,,,,liung,lung4,l,ung,4,long2,l,ong,2,上平10右,19,20,1,,3,力中,力中,1,3加1,a1湰,力弓,是,力中/力弓/力弓,ljong,力中1/力躬1/六中1/呂穹1,力中：盛也豐也大也力中切六,力中,ljowŋ,ljong,liung,力,ljik,來,開,三,蒸,入,來,曾,中,trjong,知,開,三,東,平,知,通,,,,,,,,,ljɨk,lik,ʈjowŋ,triung,,,次級聲旁,降省聲,中,隆
16436,307,工,工,穴,,空,822,工,苦紅,,,,,,,,,,苦紅,苦紅,苦,紅,空,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四,,176,khowŋ,khong,溪,開,一,東,平,見,通,,上平01,東,東,東,,東一>開,,,,khung,hung1,h,ung,1,kong1,k,ong,1,上平10右,25,21,1,,7,苦紅,苦紅,1,7加2,a1𪔣,口公,,口公,khong/khongh/khongq,如字2/苦貢1/孔8,苦紅：空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四/苦貢：空缺又苦紅切,苦紅/苦貢,khowŋ/khowŋh,khong/khongh,khung/khungh,苦,khoq,溪,開,一,模,上,見,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,khoʔ,khox,ɦowŋ,ghung,,,次級聲旁,,東,空
16228,,公,,公,整體,公,818,公,古紅,,,,,,,,,,古紅,古紅,古,紅,公,公,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何藐公父歜公賓庚公思展公鉏極公甲叔子費宰公山弗櫌公甲叔公巫召伯衛有公文要戰國策齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公慎氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙錄有大中大夫公帥式子夏門人齊人公羊高作春秋傳列女傳有公乘之姒墨子魯有公輸班衛大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今高平人衛大夫公南文子魯有公荊皎衛大夫公子荊之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱高宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後呂氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰別傳有渤海公族進階衛大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世鄉秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今高平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衛有庾公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衛有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉世本有大公叔穎又有公紀氏衛有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三,,190,kowŋ,kong,見,開,一,東,平,見,通,,上平01,東,東,東,,東一>開,,,,kung,gung1,g,ung,1,gong1,g,ong,1,上平10右,39,22,1,,9,古紅,古紅,1,8加1,,古紅,,古紅,,,古紅：通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何藐公父歜公賓庚公思展公鉏極公甲叔子費宰公山弗櫌公甲叔公巫召伯衛有公文要戰國策齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公慎氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙錄有大中大夫公帥式子夏門人齊人公羊高作春秋傳列女傳有公乘之姒墨子魯有公輸班衛大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今高平人衛大夫公南文子魯有公荊皎衛大夫公子荊之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱高宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後呂氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰別傳有渤海公族進階衛大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世鄉秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今高平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衛有庾公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衛有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉世本有大公叔穎又有公紀氏衛有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三,古紅,kowŋ,kong,kung,古,koq,見,開,一,模,上,見,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,koʔ,kox,ɦowŋ,ghung,,聲旁,次級聲旁,似某容器的整體象形；容爲⿱宀谷，非公聲,東,公
